label,text,wakati_text,vector
-1.0,グレタさんは周りにおもちゃにされてるし毎日全世界でニュースにするメディアの異常さを感じて気持ちが悪い。メディアってカルト好きでしょ。,グレタ さん 周り おもちゃ する れる る 毎日 世界 ニュース する メディア 異常だ さ 感じる 気持ち 悪い メディア カルト 好きだ,-0.0071962746 -0.117031395 -0.08654357 -0.02207385 0.17461018 -0.08953922 -0.10566645 -0.11149628 0.094427325 -0.20875385 0.04866832 0.017036175 0.0019174311 -0.08160268 0.20308968 0.073715 0.21577193 -0.038203035 0.005436068 0.07196518 0.07721446 0.005183107 -0.083301604 -0.013434206 -0.009073316 0.04338405 0.19298483 0.11866757 0.14213468 0.0032159444 0.040948458 -0.07079725 -0.06559693 0.016545033 0.012453096 0.15159827 0.017627904 0.13829525 -0.0829036 0.080381334 -0.14364976 0.0821091 0.054796506 0.072986916 0.05403978 -0.02104353 -0.24358535 0.012592623 0.0741426 0.09603203 0.000108598884 0.040268693 0.08318065 -0.11227425 0.20684625 -0.063109964 0.057105772 0.09395991 -0.048382025 0.07740533 -0.13345765 0.102970295 -0.024053993 -0.08646819 -0.109395295 -0.03366723 0.046861663 0.083171494 0.11905871 -0.22536367 0.16800407 -0.06679563 0.0103732925 -0.0390434 -0.07652136 0.15619695 -0.14025415 -0.010013936 0.075696096 0.08819385 0.1700558 0.011076079 0.02295621 0.044992056 -0.10707193 -0.19960886 0.13013828 0.16224445 -0.00856802 -0.07865857 0.008329546 -0.07114246 -0.07465834 0.022480108 0.010881771 0.12922262 -0.040489934 -0.061016902 -0.075858235 0.077364594
-1.0,"グレタさん「帰りの列車は超満員」  ドイツ鉄道とツイッターで小競り合い https://t.co/geC118zkSh
嘘がバレタさん",グレタ さん 帰り 列車 満員 ドイツ 鉄道 ツイッター 小競り合い 嘘 さん,0.015997747 -0.071830735 -0.017054085 0.009359174 0.21760434 -0.06698958 -0.09107537 -0.10213463 -0.018163107 -0.14941493 0.08560466 -0.034399237 0.009788509 -0.08078326 0.28180736 0.07880987 0.19685008 -0.06127108 0.08274212 0.040550843 0.023020571 0.02603765 -0.0965409 -0.1292289 -0.025897166 -0.033698026 0.08409525 0.046806283 0.08784826 -0.022631913 0.11733588 -0.12152243 -0.006418127 0.0615322 0.09215221 0.15641706 -0.05419352 0.15967242 -0.031190697 0.05766402 -0.121247694 0.07828901 0.060019594 -0.036626562 0.14604001 0.0078399 -0.1059224 0.11168195 0.055533774 0.07693099 0.0041716336 0.17045279 -0.011276863 -0.061068356 0.25403464 -0.03571321 0.0283195 0.06446575 -0.052325014 0.105145305 -0.10308034 0.1698655 -0.11336815 -0.04246255 -0.07827632 -0.042944442 -0.059668906 0.1233066 0.054439135 -0.22932857 0.056742013 -0.06480386 0.03621846 -0.043846563 -0.06556433 0.15140735 -0.29844943 0.056347214 0.0086977985 0.09049415 0.072090685 0.043450985 -0.048397835 0.040277276 -0.10234106 -0.099452 0.1075358 0.20553839 -0.043012764 -0.025520831 0.047113463 -0.0651974 0.051810138 0.05373172 -0.004314962 0.042311072 0.03878005 -0.12502302 -0.06708562 0.09633665
-1.0,"俺含め日本人みたいなモグラしかいない連中にとってグレタさんみたいな象徴的なキャラクターは俯瞰するだけで環境問題に上向きに関与出来たと勘違いする奴が多いから新聞に書きやすいんですね〜〜〜
まぁ知る事は重要だけど",俺 含める 日本 人 モグラ いる ない 連中 とる グレタ さん 象徴 的だ キャラクター 俯瞰 する 環境 問題 上向き 関与 出来る 勘違い する 奴 多い 新聞 書く やすい 知る 事 重要だ,-0.019721212 -0.1633011 -0.06553458 -0.034877706 0.18480773 -0.07437672 -0.14199616 -0.12721954 0.116263315 -0.19042091 0.044435736 0.020901823 0.010185545 -0.06457488 0.16050655 0.09091656 0.22674915 -0.0046675312 -0.04262712 0.06985479 0.07657941 0.01470892 -0.084225714 -0.0435578 -0.025900308 0.010734545 0.20571087 0.11569995 0.15202393 0.028598458 0.037591245 -0.112105414 -0.03206024 -0.0009852035 -0.0096200835 0.1348225 0.014980318 0.12455948 -0.0710415 0.101825096 -0.15124677 0.08060071 0.056432497 0.032655884 0.0031392658 -0.041232534 -0.22422168 -0.019341977 0.09481432 0.102346614 -0.03131802 0.034955338 0.084945224 -0.11434741 0.18311433 -0.07869078 0.04681354 0.085069984 -0.06539995 0.113722846 -0.11491626 0.04031011 -0.033301305 -0.05530575 -0.1128972 -0.046419 0.059795402 0.09568466 0.1274461 -0.20724928 0.17795691 -0.059328355 0.020400073 -0.018986301 -0.080772094 0.15579686 -0.1227416 -0.009977321 0.116371095 0.11412608 0.18851872 -0.010029545 -0.01018555 0.054371823 -0.09036487 -0.2066201 0.10653342 0.12714012 0.022361448 -0.09287577 -0.0074180965 -0.058165472 -0.07840916 -0.024858939 0.026724888 0.13673332 -0.045458317 -0.07329573 -0.07918163 0.06861956
-1.0,"グレタさんや早く日本に来いよ

日本の鉄道はドイツの比じゃないぞ

火力発電の恩恵を受ける、超満員の日本の鉄道は、あなたの言葉を借りれば「鉄道の需要が高いから素晴らしい！」よなぁ！

 https://t.co/4fEBxhfWJ3",グレタ さん 早い 日本 来る いる 日本 鉄道 ドイツ 比 ない 火力 発電 恩恵 受ける 満員 日本 鉄道 あなた 言葉 借りる 鉄道 需要 高い 素晴らしい,0.0019304988 -0.09849474 -0.04329303 -0.000521532 0.21896411 -0.0711327 -0.10912008 -0.10630342 0.032851826 -0.17703101 0.08365836 -0.034332637 0.009089282 -0.08659689 0.2641149 0.09613359 0.2121196 -0.05600132 0.054772373 0.05466006 0.041949894 0.029579394 -0.09680121 -0.07792958 -0.030385032 -0.013097678 0.13925457 0.08920226 0.11600723 -0.01952845 0.088331655 -0.12019515 -0.03601703 0.036857124 0.054554544 0.1618696 -0.031144302 0.14805615 -0.05671646 0.079762585 -0.13374235 0.07634147 0.07523232 0.008678676 0.1296807 -0.00828225 -0.16439797 0.064507134 0.068587005 0.076401 -0.006246301 0.11079816 0.03634223 -0.0765546 0.24735343 -0.034442704 0.04250135 0.06691731 -0.058563713 0.10627622 -0.10707522 0.14359628 -0.07367811 -0.052171014 -0.104345836 -0.0332033 -0.013386563 0.123161 0.084263355 -0.23459315 0.11211164 -0.07239039 0.043837402 -0.03660266 -0.08212973 0.15371504 -0.24289842 0.04419249 0.039337244 0.08404814 0.10169332 0.031936076 -0.012096818 0.040327806 -0.10840766 -0.1348812 0.12868507 0.18762545 -0.023211837 -0.041774888 0.037680335 -0.067341894 0.0044516013 0.032908794 0.011764275 0.086956695 0.023233153 -0.11627987 -0.07338688 0.1049389
-1.0,RT @uudaiy: グレタさんが電車でファーストクラスに乗ってるって指摘して気持ち良くなるの、24時間テレビのマラソンは途中で車乗ってるって指摘して気持ちよくなるのと似てる気がする,グレタ さん 電車 ファースト クラス 乗る る 指摘 する 気持ち良い なる 24 時間 テレビ マラソン 途中 車 乗る る 指摘 する 気持ちよい なる の 似る る 気 する,0.016730512 -0.14481026 -0.024364246 0.027465818 0.20564161 -0.07106342 -0.13740389 -0.10918512 0.069507115 -0.16721785 0.10293719 -0.053578105 0.035607483 -0.09217219 0.2376669 0.13260856 0.2055654 -0.05982738 0.057425227 0.091917075 0.028332505 0.025437571 -0.07958394 -0.008703541 -0.0096557615 -0.013530104 0.13867085 0.11179617 0.14284588 -0.019808384 0.057467923 -0.11976461 -0.07457055 0.008331373 -0.00035159805 0.17387511 -0.033641204 0.11635605 -0.08981091 0.103879064 -0.11808839 0.06096423 0.08973092 0.050972726 0.12467324 0.020116089 -0.19708942 0.029924106 0.072598375 0.03699344 -0.020325398 0.0483301 0.08380648 -0.047743935 0.19343145 -0.020960722 0.049198765 0.031740118 -0.070469975 0.12616695 -0.08668227 0.14131235 -0.0075798216 -0.077420704 -0.12461151 -0.008868941 0.034161597 0.117543004 0.15077141 -0.24510583 0.15265863 -0.11063623 0.048702873 -0.043616887 -0.08724312 0.14469951 -0.17996679 0.026625775 0.054990463 0.05838983 0.0703001 0.03161058 0.07391369 0.03829812 -0.1148618 -0.124472156 0.10393126 0.16759822 -0.0008488039 -0.02700235 0.042111564 -0.07847772 0.0013396268 -0.016461374 0.0070611783 0.14401813 0.046622176 -0.115687214 -0.06087753 0.121494986
-1.0,グレタさん、マラさんの二番煎じ狙ったけど失敗に終わった感ある,グレタ さん マラ さん 二 番 煎じる 狙う 失敗 終わる 感 ある,0.0019696115 -0.15048572 -0.044558495 -0.015342035 0.19550383 -0.06341805 -0.1299743 -0.12773763 0.08301927 -0.17589797 0.05406918 -0.0041091847 0.01676509 -0.08332653 0.19785212 0.08800078 0.21403751 -0.005449054 -0.014095087 0.08020509 0.06651659 0.017318834 -0.09081619 -0.095480606 -0.04276234 -0.008422372 0.17300087 0.0942947 0.138494 0.020970555 0.06201357 -0.11827663 -0.010080724 0.007611746 0.02659147 0.13143422 -0.006540416 0.15460151 -0.048313648 0.07396001 -0.13712713 0.0986285 0.056476284 -0.0075029 0.036256634 -0.035623826 -0.2030078 0.011231815 0.098246634 0.07551705 -0.016206473 0.08583335 0.05994806 -0.09433319 0.23611434 -0.08707114 0.05335418 0.06152213 -0.06352955 0.121841885 -0.106341176 0.094103016 -0.095748395 -0.049277708 -0.10855437 -0.038819525 0.03645888 0.12713932 0.12507088 -0.21420947 0.1512225 -0.057669085 0.027967585 -0.032565 -0.08991263 0.15646306 -0.21142776 0.013020409 0.10487335 0.12129669 0.15808427 0.023157867 -0.021056272 0.06806337 -0.09378992 -0.17611334 0.100552656 0.16025583 0.0045025083 -0.07836019 0.0033746334 -0.059521496 -0.031973995 -0.023451764 0.020907715 0.0982154 -0.027575135 -0.071473256 -0.0774487 0.08623618
-1.0,グレタさん、ファーストクラス乗ったなら乗ったと最初から言えばいいでしょうに,グレタ さん ファースト クラス 乗る 乗る 最初だ 言う いい,0.022173388 -0.15328334 0.020066451 0.028863078 0.23344241 -0.06645343 -0.15330413 -0.11527021 0.023164155 -0.1262028 0.12420507 -0.09600089 0.032146357 -0.071792915 0.26596642 0.15327914 0.19573727 -0.072083086 0.07024711 0.094022155 0.012118296 0.044905044 -0.07449849 -0.035028484 -0.024496661 -0.040879674 0.10714538 0.09274495 0.12528756 -0.044828437 0.07961857 -0.14973354 -0.06274205 0.022744467 0.010506718 0.1698387 -0.07700545 0.1002659 -0.072557434 0.10280839 -0.11450266 0.04045202 0.10572259 0.010248783 0.14278737 0.039486144 -0.12338517 0.045132067 0.06009916 0.02056198 -0.05162451 0.07017632 0.045202874 -0.013899117 0.1819362 -0.0015059371 0.03514982 0.011395531 -0.08917704 0.15707524 -0.05090027 0.15992811 -0.023282766 -0.032099087 -0.12503548 -0.006313305 -0.0066995295 0.13226451 0.14544371 -0.24012737 0.11169616 -0.08745614 0.077268586 -0.038469564 -0.08182672 0.14211668 -0.21756336 0.03192687 0.046530776 0.054030135 0.034327727 0.030180207 0.06114578 0.031048784 -0.09901226 -0.07650814 0.098724425 0.17687228 -0.011738594 -0.004975923 0.061343357 -0.06554921 0.06465236 -0.009502575 0.012626414 0.12526108 0.083668634 -0.14660926 -0.06444271 0.1301724
-1.0,"グレタさんが正体を隠そうとしなくなってきてる（隠す能力が無い）のすこ
活動家はこうでなきゃね",グレタ さん 正体 隠す する ない なる くる る 隠す 能力 無い すく 活動 家 ない,-0.024751835 -0.16710125 -0.050146658 -0.032738525 0.19527772 -0.10010954 -0.15486191 -0.13059123 0.093141586 -0.19319722 0.06467921 0.017171519 0.0055937767 -0.063055195 0.1969771 0.08011958 0.2226261 -0.02041307 -0.030762667 0.07622609 0.07213151 0.020192172 -0.08624077 -0.07219124 -0.0055168495 0.005829449 0.16134737 0.100596756 0.13366725 0.033358984 0.047481418 -0.09126842 -0.032791387 0.017101882 0.009715417 0.1380519 -0.014954047 0.12232378 -0.065358005 0.101444446 -0.15906683 0.08418295 0.059862524 0.011997448 0.015257808 -0.031742908 -0.19168143 0.024366423 0.092958525 0.11928201 -0.032610986 0.06109848 0.05620125 -0.13941588 0.19549833 -0.08198076 0.04121716 0.10733909 -0.07670498 0.12216497 -0.12352504 0.048181303 -0.048399948 -0.05222085 -0.09642994 -0.05113722 0.03322856 0.08205143 0.12946233 -0.22376774 0.16378634 -0.061110057 0.019396825 -0.0030834367 -0.06395542 0.15636177 -0.152691 0.014991032 0.11390893 0.11346164 0.18250827 -0.003358803 -0.03471093 0.056358293 -0.09188768 -0.21263853 0.09065011 0.118957266 0.009361387 -0.090304956 0.020048384 -0.05550715 -0.04804651 -0.00059780694 0.034467224 0.118352175 -0.036378108 -0.10484906 -0.08219696 0.062250715
-1.0,グレタさん面倒くさそうだな,グレタ さん 面倒くさい そうだ,-0.004388468 -0.09226301 -0.043971285 -0.008002836 0.20399614 -0.078009 -0.108782075 -0.12103904 0.020326652 -0.17265719 0.06548642 -0.008699534 -0.0051814183 -0.060393695 0.24586928 0.06725363 0.22902985 -0.038078148 0.020987548 0.042017266 0.040912423 0.0032978102 -0.09249494 -0.11991492 -0.006654126 0.0040718117 0.14257531 0.081738465 0.12471578 0.0012146321 0.10787908 -0.10700904 -0.008899365 0.04274627 0.06789951 0.13717961 -0.027308054 0.15501271 -0.036565438 0.064596266 -0.15568316 0.084114425 0.049874075 -0.012261924 0.09305556 -0.006901878 -0.1538082 0.07282394 0.06950647 0.114640564 0.003690624 0.1350035 0.016548995 -0.10524846 0.24427506 -0.055398867 0.031686183 0.102525316 -0.036486063 0.09196929 -0.11907139 0.13330555 -0.09802003 -0.045706354 -0.07480229 -0.05751472 -0.025582803 0.10262502 0.065260746 -0.23898448 0.100727096 -0.031851 0.022764243 -0.041631646 -0.073289126 0.16315246 -0.23298009 0.015775554 0.04310877 0.113877065 0.14690833 0.0104992725 -0.04656804 0.044409167 -0.112697646 -0.16206694 0.13142252 0.20104243 -0.02655331 -0.080542155 0.027269624 -0.06611402 -0.013128058 0.043322224 -0.00362268 0.06820437 -0.018980507 -0.11546066 -0.081820995 0.070707105
-1.0,"グレタって結局何がしたいの？俺としてはただの大人のおもちゃって存在なんだがw
活動家ってっ括りで言うと、周庭さんとグレタを比較すると行動力と発言力にめちゃくちゃ雲泥の差が有りすぎてさ笑っちゃうよね。",グレタ 何 する たい 俺 する 大人 おもちゃ 存在 活動 家 る 括り 言う 周 庭 さん グレタ 比較 する 行動 力 発言 力 めちゃくちゃだ 雲泥 差 有る すぎる する 笑う う,-0.015969843 -0.1405805 -0.07291576 -0.024185812 0.1743943 -0.098381564 -0.12858951 -0.1172286 0.10009327 -0.19991185 0.06733609 0.01981927 0.004838632 -0.07667453 0.19640775 0.0783477 0.21241325 -0.037105393 -0.009995016 0.07680614 0.07018288 0.0064976844 -0.08650247 -0.022743892 -0.002130192 0.040191814 0.17895408 0.116013445 0.14320062 0.011641995 0.038996164 -0.07123154 -0.06041123 0.019518863 0.00051569357 0.14237578 -0.0024095033 0.12084626 -0.08477965 0.09034521 -0.14481258 0.08067065 0.060602646 0.058920033 0.046068054 -0.023479324 -0.23568177 0.011165836 0.07823705 0.0978233 -0.009562796 0.03290274 0.07856885 -0.12691829 0.1941126 -0.0593251 0.05351361 0.104148895 -0.05559407 0.097273044 -0.13176711 0.084859915 -0.007564062 -0.08089122 -0.10683085 -0.03792659 0.049558822 0.0712641 0.1349288 -0.23909765 0.16407387 -0.06921502 0.02146221 -0.029197985 -0.07724267 0.15518808 -0.12961447 -0.00553022 0.08691536 0.09073823 0.17055306 -0.0016277551 0.01878344 0.048384596 -0.11412238 -0.21016905 0.122382484 0.14662337 -0.005581883 -0.09349439 0.018340511 -0.06647455 -0.06905159 0.014898015 0.021944532 0.13422316 -0.03974658 -0.08681702 -0.07442414 0.06928984
