"label","text","vector"
"0","トレンドに入ってる死刑求刑のツイート見てたら人の生首出てきてうわああ！ってなったのにケーキだった😵リアルすぎて心臓キュッてなった………","-0.1479263 -0.25368482 0.05329843 -0.028034164 0.06042401 -0.02747325 0.09779112 0.15335456 -0.071987346 -0.013152898 0.104597114 -0.020075427 0.004624394 -0.23054372 -0.028518073 0.060247187 0.1053314 -0.08425552 0.2847083 -0.11105972 -0.0048793205 0.06596731 0.12481178 0.052352328 -0.030268978 -0.213256 0.16138658 0.015484984 -0.12491194 -0.072451174 -0.07449768 0.09386782 -0.10544189 -0.08168909 -0.09316442 -0.04293474 -0.12389281 -0.081389025 0.15942313 0.015911344 -0.13903272 0.07083267 0.1964727 -0.0029414836 -0.04884656 0.05284819 0.20884937 0.07464169 -0.086089835 -0.018029753 -0.017754918 -0.015184535 0.012909292 -0.06773969 0.17544341 -0.100694254 -0.013386768 0.11735427 0.014738408 -0.098336406 -0.04943867 -0.16326658 0.023074957 0.015572888 -0.03694304 0.079353325 -0.056612298 0.07126711 0.12271395 -0.0047275187 -0.0002407926 0.18566346 -0.0025869205 0.09612419 0.056096945 0.031038279 0.20280074 0.17490259 0.06365704 0.06701989 0.011806903 -0.055581823 0.066982165 -0.0742373 -0.11324237 0.033557296 -0.02912667 -0.04714182 0.064130954 0.0097126905 -0.05553286 -0.07267696 0.024284124 0.0071476055 0.0037688024 -0.07563453 0.042982735 -0.13055481 0.10916114 0.12683159"
"1","死刑求刑のやつ、記事のタイトルだけで吐きそうになるわ。死刑になってよかった","-0.14481978 -0.255083 0.05421376 -0.028234318 0.05835032 -0.027445467 0.09832031 0.15410283 -0.07176706 -0.010670389 0.10434832 -0.01987205 0.0043318626 -0.23140518 -0.026057404 0.056549598 0.10370356 -0.08611885 0.2836843 -0.11010567 -0.0046106963 0.066272445 0.123457216 0.05161193 -0.03029596 -0.21351679 0.1617913 0.016155653 -0.12649362 -0.07529554 -0.076163806 0.09407367 -0.104263306 -0.083041705 -0.09483653 -0.044070575 -0.122285575 -0.08272548 0.159197 0.015675236 -0.13922118 0.071897686 0.19728377 -0.0036490532 -0.0487111 0.050844926 0.20850073 0.07491776 -0.08642487 -0.018876305 -0.01783684 -0.01553019 0.0153523935 -0.06785744 0.17710584 -0.10026397 -0.013893655 0.11839903 0.015795566 -0.09945107 -0.048973966 -0.16280198 0.019975403 0.014889423 -0.03554126 0.0781765 -0.054739784 0.0716798 0.121591814 -0.0047604158 0.0013247204 0.1868089 -0.0019542328 0.09377435 0.057382166 0.029591154 0.20215656 0.17331299 0.064678 0.06984944 0.01172534 -0.055763576 0.06560548 -0.072580636 -0.11249936 0.03426267 -0.028047396 -0.047738794 0.06355912 0.010126212 -0.053998966 -0.07256937 0.02523316 0.005288542 0.00205459 -0.07642364 0.045052588 -0.13147485 0.10975399 0.1269135"
"1","なんで死刑求刑という仕事をこなしているのに

未だに警察は飯塚を逮捕出来ないの？","-0.14488034 -0.2535673 0.05333905 -0.028141884 0.05911568 -0.027155267 0.097927764 0.15446079 -0.07155206 -0.012299397 0.10464241 -0.021241345 0.0050132577 -0.23121315 -0.027694048 0.057754785 0.1047439 -0.08512855 0.28461066 -0.11088151 -0.0046125166 0.065617226 0.12411735 0.05082884 -0.030271882 -0.21281295 0.161624 0.016583106 -0.1266706 -0.07378444 -0.07490458 0.09352003 -0.10394017 -0.08243398 -0.09404216 -0.04278203 -0.12303499 -0.08275761 0.15940535 0.016529357 -0.13837557 0.071809374 0.19727686 -0.0028861573 -0.048787847 0.052155107 0.20885773 0.076086625 -0.08599487 -0.017951416 -0.018145941 -0.014599638 0.01424048 -0.068350285 0.1767076 -0.10115517 -0.013622876 0.11769754 0.015403621 -0.098812304 -0.04954872 -0.16255486 0.021018062 0.014807649 -0.036003813 0.07854799 -0.05482472 0.07190081 0.12261302 -0.0053004157 0.0013018835 0.18691598 -0.0024440316 0.09511636 0.05646961 0.030294245 0.2025497 0.17404637 0.064567894 0.06914782 0.011770809 -0.05525977 0.06695035 -0.07266022 -0.11291852 0.03432007 -0.029420173 -0.047927935 0.065305784 0.009905597 -0.05397412 -0.07249974 0.024451355 0.005886937 0.0018096252 -0.07689629 0.043679334 -0.13040043 0.10941204 0.12616695"
"0","トレンドにある死刑求刑ひらいたら、生首出てきて心臓止まるかと思った 
ケーキらしいけど載せなくていいんじゃないですかね?","-0.14714028 -0.25339946 0.052860342 -0.028519118 0.06054276 -0.02751868 0.09802982 0.1534182 -0.07243267 -0.013289433 0.10452346 -0.020695643 0.00519706 -0.23023951 -0.027739309 0.060327854 0.10505279 -0.08445892 0.28492367 -0.11132862 -0.005072254 0.066275984 0.12463638 0.05226952 -0.03034962 -0.21312115 0.16136014 0.015800623 -0.12503031 -0.07270907 -0.074374855 0.09406672 -0.105294116 -0.0820873 -0.09332592 -0.043248754 -0.12439252 -0.08149408 0.15925069 0.01606747 -0.13890228 0.071254425 0.1964021 -0.0029536465 -0.048888367 0.052474968 0.20923707 0.07476088 -0.08628101 -0.017906373 -0.01819232 -0.015293031 0.0130554885 -0.06793342 0.17605913 -0.10102441 -0.013439817 0.11718172 0.0150186885 -0.09862612 -0.049442858 -0.1627216 0.022886103 0.015649421 -0.036659338 0.07918229 -0.056791723 0.07149939 0.12246935 -0.0048073404 -8.936163e-05 0.18549904 -0.0023826947 0.095761575 0.055930164 0.030938858 0.20259307 0.17432883 0.06406555 0.06747328 0.01158995 -0.056008384 0.0671871 -0.073713236 -0.113426104 0.03372746 -0.0297677 -0.046941515 0.064769946 0.010496161 -0.05566589 -0.07236425 0.023827553 0.006760668 0.0036236276 -0.075885475 0.04284991 -0.13050207 0.10901211 0.1267953"
"0","新潟女児殺害、被告に死刑求刑「まれにみる非道な犯行」 #ldnews https://t.co/0V1FwGBbh1

いつだかの新潟であった人身のやつか…","-0.13454726 -0.2573768 0.054745406 -0.025437921 0.05383727 -0.023916367 0.09733974 0.1568343 -0.07179814 -0.004044507 0.104173526 -0.019362058 0.0021280278 -0.23704392 -0.01891657 0.048101865 0.09432847 -0.09264995 0.2839159 -0.10732783 -0.0078954715 0.06595667 0.11945851 0.04966894 -0.027529081 -0.21586524 0.16324109 0.01703885 -0.12945151 -0.08475937 -0.078569554 0.091089375 -0.09434318 -0.08805968 -0.10043652 -0.04615262 -0.11827378 -0.088371135 0.15952478 0.010751136 -0.13887759 0.07891941 0.20109387 -0.005959802 -0.04750339 0.04561941 0.2044104 0.07839083 -0.088989936 -0.022481037 -0.020360736 -0.013978965 0.02523281 -0.06481586 0.1799137 -0.10048204 -0.017462546 0.12443316 0.014207682 -0.102214925 -0.05346918 -0.16017883 0.009595236 0.015511853 -0.026713623 0.07580705 -0.051256295 0.070477635 0.11802495 -0.006784482 0.007800447 0.19011356 -0.0029471617 0.087219745 0.06397479 0.026722705 0.20222898 0.16636033 0.07194463 0.07797362 0.010001487 -0.0559257 0.060632944 -0.06221821 -0.10719246 0.036833607 -0.025489708 -0.048155934 0.06710304 0.014974341 -0.04765857 -0.06852065 0.024901528 -0.0012423977 -0.0023039246 -0.08120244 0.050684478 -0.12955952 0.11221226 0.12524189"
"1","新潟の女の子の殺害事件、1人殺して求刑が死刑ってびっくりしたけど、女の子にやってたこと思った以上にマジキチ","-0.14533684 -0.2539879 0.053936888 -0.027998269 0.0588505 -0.027164096 0.097982235 0.15443426 -0.07163521 -0.012079765 0.104673706 -0.020500427 0.0044476753 -0.23199481 -0.027214611 0.057754472 0.10425767 -0.085179225 0.28489652 -0.11116588 -0.005252665 0.06544282 0.12432834 0.051953074 -0.029461471 -0.21366388 0.16172516 0.016501259 -0.12524429 -0.074569196 -0.07496926 0.09304982 -0.10381134 -0.08286818 -0.09425578 -0.043815933 -0.12207513 -0.08291783 0.15962315 0.016234923 -0.13831657 0.07160073 0.19724654 -0.0036766874 -0.04908359 0.052352298 0.20852913 0.075916775 -0.0861752 -0.018896824 -0.018000709 -0.014143063 0.014807859 -0.068750955 0.17697932 -0.1005268 -0.0138812 0.11823678 0.015856279 -0.09907431 -0.050213438 -0.16223705 0.020939095 0.01585465 -0.03522331 0.07852196 -0.055204444 0.07115193 0.122256 -0.0060620788 0.001524833 0.18690091 -0.0026731598 0.094128944 0.057463642 0.02930588 0.20296386 0.17317519 0.06462238 0.06912993 0.0117586795 -0.054975897 0.06598029 -0.07148085 -0.11210295 0.034641836 -0.0292707 -0.047507033 0.06387862 0.011094169 -0.05431215 -0.07226767 0.024958719 0.00626925 0.0022238283 -0.077170424 0.04252768 -0.13049848 0.10960112 0.12613457"
"0","新潟女児殺害、被告に死刑求刑「まれにみる非道な犯行」 #ldnews https://t.co/uRiWv70mAZ
ここまでやっておいて否認しても冤罪とか考えられないしなぁ。
求刑されても仕方ないよ。","-0.14122312 -0.25520906 0.053874876 -0.026992628 0.05727317 -0.026345141 0.09808359 0.15563808 -0.07201348 -0.008963176 0.104536265 -0.019901656 0.00414216 -0.23339513 -0.023980329 0.053872336 0.1007339 -0.08795344 0.28474212 -0.109895036 -0.0061726863 0.06617617 0.12244406 0.050516922 -0.028408788 -0.21422528 0.16193321 0.01643005 -0.12713407 -0.07813951 -0.07640172 0.09268193 -0.10011623 -0.08462012 -0.09625219 -0.044712458 -0.12098298 -0.08505499 0.15955736 0.014490638 -0.1388745 0.07432561 0.19847679 -0.004157007 -0.048638657 0.049866695 0.20752174 0.07680629 -0.08696413 -0.019703018 -0.018919159 -0.014485081 0.018657364 -0.067184 0.17815848 -0.100670576 -0.015201731 0.12037936 0.015114349 -0.10076229 -0.051460933 -0.1617055 0.016764436 0.015438881 -0.031857677 0.077073 -0.05383706 0.07109259 0.12085203 -0.0058017005 0.0037935448 0.18781494 -0.0029654722 0.09179173 0.059041806 0.02847627 0.20231754 0.17102735 0.067386374 0.07252191 0.011340543 -0.055404156 0.06445696 -0.06859923 -0.110933326 0.035550293 -0.028104464 -0.047974076 0.065670945 0.012227451 -0.051617045 -0.07064328 0.024841366 0.003434626 0.00024516266 -0.07822453 0.046109714 -0.1304189 0.11026981 0.126093"
"1","何で死刑の求刑や執行に対して感情的になってはいけないか、これは法学とか専門的なことを何も知らなくても分かることで、
「こんな酷いことをしたから死刑にすべき」という道理が通るなら、本質的な意味では動機があれば殺人自体が正当化されてしまうからですよね","-0.14645217 -0.25350764 0.053672947 -0.028808938 0.05974613 -0.028147079 0.09818669 0.15391916 -0.07194281 -0.013095016 0.10461775 -0.020584162 0.0051899296 -0.2308259 -0.028179385 0.059099052 0.105309606 -0.08400417 0.28477192 -0.11203152 -0.0048222695 0.065470815 0.124762416 0.05187034 -0.029606469 -0.21285994 0.16143698 0.015790954 -0.12558332 -0.073301926 -0.07475939 0.09396984 -0.10471152 -0.08240769 -0.09356469 -0.043567576 -0.12306772 -0.08260949 0.15928571 0.016721683 -0.13878845 0.07070855 0.1961553 -0.0026994252 -0.049711414 0.05247969 0.20892295 0.075182356 -0.08535763 -0.01829662 -0.018136358 -0.014867011 0.012972718 -0.06936502 0.17603393 -0.10055368 -0.013058968 0.11750497 0.01586075 -0.09908931 -0.04988074 -0.16312055 0.021943629 0.014935918 -0.035890706 0.079031214 -0.055604868 0.071633294 0.12249052 -0.005289375 0.00050022826 0.18614325 -0.001870227 0.09527212 0.056059677 0.030033996 0.20248538 0.17414992 0.0632984 0.067927435 0.0119166 -0.055141542 0.067127004 -0.07337834 -0.113194354 0.03466281 -0.02991697 -0.047759626 0.06474019 0.010061183 -0.055200897 -0.07285468 0.024858812 0.0066246707 0.0024934844 -0.07631696 0.04263154 -0.13051875 0.10921595 0.12670322"
"0","死刑求刑タグ、コロッセオみたいになってて面白い","-0.14549404 -0.25468874 0.053882483 -0.027635777 0.058959734 -0.02702674 0.09865826 0.15383531 -0.07182594 -0.011869768 0.10393409 -0.01970553 0.004951135 -0.2317226 -0.026723552 0.057851482 0.10362266 -0.086055 0.28374073 -0.109624684 -0.004572493 0.066582605 0.12366652 0.052454595 -0.030614669 -0.21336578 0.16199961 0.015738718 -0.12588398 -0.073982194 -0.07507026 0.093386866 -0.10363019 -0.08229578 -0.09355715 -0.043796677 -0.12350589 -0.08283669 0.15963861 0.01583963 -0.13914509 0.07156002 0.19707054 -0.003621253 -0.048325006 0.051379055 0.20887117 0.07495023 -0.08555765 -0.018819269 -0.01824664 -0.015121265 0.014991993 -0.06833646 0.17667766 -0.10052083 -0.014132791 0.1177561 0.0151694715 -0.09903385 -0.049903195 -0.16370918 0.021046761 0.01515531 -0.03569463 0.07909237 -0.055425685 0.071679525 0.12196516 -0.0052610426 0.0012837349 0.18626164 -0.00201192 0.09462728 0.05702534 0.029448953 0.20247273 0.17360464 0.063707955 0.068811625 0.011960822 -0.056114905 0.0668006 -0.07303967 -0.11243388 0.03391939 -0.028313505 -0.047139034 0.06461577 0.010185064 -0.054259013 -0.07197191 0.025281465 0.0059688417 0.0023638105 -0.0770218 0.044557024 -0.13120829 0.10935853 0.12686704"
"0","新潟女児殺害、被告に死刑求刑「まれにみる非道な犯行」（朝日新聞デジタル）
当たり前です。被告をお生みになり、大切にお育てになった親御様には申し訳ないですが、やった事が卑劣すぎますから、生きる権利は無いと思います。色々と悲しく思いますが。 https://t.co/Z7JgBxF7aI","-0.14142098 -0.255556 0.05397455 -0.027070276 0.057177335 -0.026544735 0.0981489 0.15547816 -0.07160691 -0.009739737 0.10506011 -0.019938657 0.0034059423 -0.23361684 -0.024413904 0.054278843 0.100738674 -0.08808239 0.28492492 -0.11008802 -0.0063056764 0.066074155 0.122114286 0.05052763 -0.02831794 -0.21455292 0.16204321 0.01646769 -0.12747504 -0.07815245 -0.07624009 0.09225958 -0.10019585 -0.084492035 -0.096755065 -0.04488152 -0.12061992 -0.084498525 0.15932883 0.014457873 -0.13870566 0.07426912 0.19881752 -0.0042902706 -0.04803816 0.049082167 0.20739922 0.07662475 -0.087051265 -0.02085355 -0.019292384 -0.014628316 0.018231979 -0.066912524 0.17819527 -0.10008973 -0.015435806 0.12070506 0.01536573 -0.100097716 -0.05151052 -0.1616089 0.017303081 0.016018024 -0.031284716 0.07756962 -0.053849142 0.07123697 0.120552704 -0.00622228 0.0033994843 0.18761069 -0.0024888017 0.0918206 0.059337206 0.028750826 0.20212945 0.17077652 0.06748152 0.0719303 0.011101819 -0.055397566 0.06438621 -0.06845102 -0.11042383 0.035424933 -0.027904741 -0.048421837 0.06565359 0.012126513 -0.052038662 -0.07126739 0.024827844 0.0029868793 0.0008470529 -0.0785442 0.04586336 -0.13012007 0.11056619 0.12593491"
