label,text,wakati_text,vector
-1.0,グレタさんは周りにおもちゃにされてるし毎日全世界でニュースにするメディアの異常さを感じて気持ちが悪い。メディアってカルト好きでしょ。,グレタ さん 周り おもちゃ する れる る 毎日 世界 ニュース する メディア 異常だ さ 感じる 気持ち 悪い メディア カルト 好きだ,0.056188975 -0.053515203 0.0005031369 -0.10118976 -0.07085119 -0.0235744 0.08973922 -0.024848387 -0.12222218 0.025663223 0.19208777 -0.066582166 -0.10688372 0.0049137333 -0.09501594 -0.09034531 -0.04523115 -0.039719425 -0.040962633 -0.013160257 0.021838043 0.21843144 -0.0038687987 0.049601275 0.10636142 -0.051516525 -0.09958182 -0.09853813 0.0059412033 -0.07568315 -0.12512198 -0.09481807 -0.06672529 0.017714147 -0.13901867 -0.005076639 0.093939684 -0.07170062 -0.12634408 -0.09086067 -0.024093278 -0.06555245 -0.028916301 0.02727522 -0.06602567 -0.06496165 0.14481126 -0.06226273 0.22405834 0.022036796 0.08857329 -0.07659674 -0.18034914 -0.0590391 0.028453423 -0.20408078 0.071788184 0.017600149 -0.012828489 0.2098803 0.10007634 0.049024172 -0.018267794 -0.036718886 -0.006999902 -0.17184299 -0.039229266 0.030600758 -0.17545202 0.020821128 -0.12817779 0.12613633 0.07694159 -0.15643655 0.06733791 0.17643046 0.08916408 -0.021251563 -0.12262688 0.08007092 0.18145329 0.09154659 -0.12984866 -0.16682604 -0.05234925 -0.07517176 -0.077106595 -0.21393552 -0.12229561 -0.20739517 -0.12765723 0.021480832 -0.043942653 -0.14848374 -0.084694915 -0.007941334 -0.063618146 0.0837691 -0.018050328 0.00032158304
-1.0,"グレタさん「帰りの列車は超満員」  ドイツ鉄道とツイッターで小競り合い https://t.co/geC118zkSh
嘘がバレタさん",グレタ さん 帰り 列車 満員 ドイツ 鉄道 ツイッター 小競り合い 嘘 さん,0.07781682 -0.0443726 0.017666757 0.043488674 -0.076184705 0.04039316 0.17426553 0.022601098 0.07046874 -0.07387222 0.1575575 -0.07902443 -0.21316999 0.0806249 -0.031303905 -0.062709324 -0.075733386 -0.060095847 -0.024367224 -0.016397793 0.042572558 0.22424236 -0.053484984 -0.043933604 0.12313232 0.111653544 -0.19017954 0.06170485 -0.036926314 -0.088394985 -0.030595409 -0.03669897 -0.10255766 -0.015502725 -0.053529814 -0.03574178 0.08774906 -0.00052903814 -0.13368376 -0.034834236 -0.1068604 -0.07911423 -0.039864626 -0.08151027 -0.040949035 -0.07443514 0.13967401 -0.015989069 0.0829823 0.14329064 0.07145992 0.0136215985 -0.07319509 -0.09081386 -0.031214489 -0.15254503 0.0506644 0.04069661 0.016175482 0.2225872 0.10138892 0.11200998 -0.07123058 0.07017328 -0.006016891 -0.18745843 -0.016121786 -0.009588363 -0.083395526 -0.0014275378 -0.15314114 0.11018457 0.17031604 -0.08422159 0.11996063 0.15527053 0.053627513 -0.12932226 -0.038563237 0.06102757 0.12948763 0.20068899 -0.09117312 -0.16461375 0.028820349 -0.17678541 -0.07803708 -0.20312119 0.12390244 -0.051362738 0.023460725 0.0064982353 -0.06573713 -0.032622382 0.048136882 0.093122244 -0.1479275 0.21043244 0.06521545 0.014377887
-1.0,"俺含め日本人みたいなモグラしかいない連中にとってグレタさんみたいな象徴的なキャラクターは俯瞰するだけで環境問題に上向きに関与出来たと勘違いする奴が多いから新聞に書きやすいんですね〜〜〜
まぁ知る事は重要だけど",俺 含める 日本 人 モグラ いる ない 連中 とる グレタ さん 象徴 的だ キャラクター 俯瞰 する 環境 問題 上向き 関与 出来る 勘違い する 奴 多い 新聞 書く やすい 知る 事 重要だ,0.060357854 -0.03150665 -0.014521239 -0.13956296 -0.040182732 -0.016877806 0.09276799 -0.043741953 -0.12008118 0.023186445 0.18330139 -0.0987145 -0.0717541 -0.011691515 -0.0837552 -0.098806985 0.00045390782 -0.084176734 -0.047917787 0.012207355 0.029261284 0.1820345 0.049048416 0.021789378 0.123754725 -0.07918397 -0.07917027 -0.14692327 0.011612639 -0.06580341 -0.13022985 -0.09831185 -0.04303974 0.009701811 -0.14690727 0.02613898 0.13126327 -0.084504746 -0.08015377 -0.08990696 0.013530005 -0.03852733 -0.039378457 0.010336046 -0.07804547 -0.09502879 0.1514563 -0.045360684 0.25120816 0.041461863 0.090461805 -0.034713265 -0.1988893 -0.08317271 0.024852516 -0.1803111 0.0410517 0.071910486 -0.030863533 0.19316748 0.10165701 0.025485218 -0.019144826 -0.05603429 -0.031807374 -0.19086769 -0.023574017 0.015790943 -0.19080009 0.029239357 -0.11259335 0.07983891 0.07153928 -0.13383159 0.061138023 0.15670478 0.08678265 0.029719029 -0.10501717 0.118028015 0.21782134 0.047455046 -0.12684034 -0.14339718 -0.06399144 -0.036737513 -0.060961373 -0.23439792 -0.10487144 -0.20581423 -0.11110383 0.021873904 -0.003746395 -0.14953178 -0.08459649 -0.044115715 -0.04424774 0.06298895 -0.05198973 -0.0014967374
-1.0,"グレタさんや早く日本に来いよ

日本の鉄道はドイツの比じゃないぞ

火力発電の恩恵を受ける、超満員の日本の鉄道は、あなたの言葉を借りれば「鉄道の需要が高いから素晴らしい！」よなぁ！

 https://t.co/4fEBxhfWJ3",グレタ さん 早い 日本 来る いる 日本 鉄道 ドイツ 比 ない 火力 発電 恩恵 受ける 満員 日本 鉄道 あなた 言葉 借りる 鉄道 需要 高い 素晴らしい,0.09268985 -0.051057644 -0.00015610376 -0.039681964 -0.060527273 0.03162628 0.16595042 0.0077145575 0.00029219827 -0.02443807 0.19902912 -0.11076721 -0.19239718 0.05065983 -0.055005793 -0.07585016 -0.07380866 -0.07111595 -0.033823974 -0.030025259 0.022096714 0.25667757 -0.01878985 -0.013164544 0.10158394 0.047062907 -0.15955779 -0.024108328 -0.021089256 -0.08865473 -0.10276022 -0.04199441 -0.09539071 0.0042633195 -0.10802821 -0.0075754286 0.09053452 -0.037682544 -0.12935163 -0.085192755 -0.06916129 -0.06300133 -0.027312806 -0.036799897 -0.05445367 -0.05664533 0.13181129 -0.033693783 0.14850506 0.095295675 0.08805535 -0.044526823 -0.11548652 -0.07009655 -0.021376954 -0.18346071 0.052118 0.023954963 -0.004364829 0.23626366 0.09676106 0.1059006 -0.042289462 0.014258078 0.009700592 -0.17965452 -0.039115492 0.0014161835 -0.16097826 0.01191907 -0.14988084 0.1100632 0.13929467 -0.12790841 0.119456515 0.18386844 0.094733626 -0.079765745 -0.08583905 0.06363094 0.15660205 0.15824561 -0.09686906 -0.17860936 -0.0051492043 -0.15184884 -0.0872397 -0.2237579 0.02260963 -0.12750813 -0.03385132 0.020075211 -0.064269766 -0.088169634 0.0036200378 0.0530654 -0.109635614 0.1615039 0.048728023 0.016561957
-1.0,RT @uudaiy: グレタさんが電車でファーストクラスに乗ってるって指摘して気持ち良くなるの、24時間テレビのマラソンは途中で車乗ってるって指摘して気持ちよくなるのと似てる気がする,グレタ さん 電車 ファースト クラス 乗る る 指摘 する 気持ち良い なる 24 時間 テレビ マラソン 途中 車 乗る る 指摘 する 気持ちよい なる の 似る る 気 する,0.12376077 -0.00368724 -0.03652628 -0.07717654 -0.0055227536 0.05224393 0.14174393 0.03246693 -0.018005276 -0.052301396 0.2072676 -0.13114256 -0.19015728 0.058880035 -0.008862146 -0.061858796 -0.05810054 -0.09644643 -0.04289122 -0.015795277 -0.045292303 0.2316533 0.05387315 -0.0018787358 0.0827231 -0.018354405 -0.12678616 -0.078913786 -0.0014622045 -0.07956015 -0.1573449 0.0060121766 -0.037820563 0.024387266 -0.1405277 0.062424667 0.10251499 -0.114514835 -0.12534249 -0.119890645 -0.040642023 -0.03488333 -0.0042503662 -0.056342453 -0.098824024 -0.034864295 0.16304742 0.008248879 0.12763493 0.0763934 0.0862013 -0.061670233 -0.11822852 -0.08526549 -0.050951973 -0.13377191 0.0067135026 0.027053654 -0.04751121 0.2550927 0.048297316 0.103575446 0.003605205 -0.016654782 0.05024119 -0.10783621 -0.10241058 -0.021501444 -0.20421395 0.021951396 -0.075867675 0.08392703 0.036939472 -0.10594838 0.11090444 0.21099085 0.13290195 -0.0033943478 -0.093524404 0.03293372 0.17053302 0.10987653 -0.09889802 -0.1942799 0.016198678 -0.19006974 -0.06029868 -0.2627098 -0.01139878 -0.13401312 -0.027175592 -0.018222218 -0.065960966 -0.097798765 -0.0054544723 -0.027600897 -0.06326822 0.12816244 0.063891895 0.0005457469
-1.0,グレタさん、マラさんの二番煎じ狙ったけど失敗に終わった感ある,グレタ さん マラ さん 二 番 煎じる 狙う 失敗 終わる 感 ある,0.06225131 -0.017065216 0.0008417218 -0.08211024 -0.02337647 -0.011631842 0.09645044 -0.038155623 -0.112341754 -0.0052746003 0.17345037 -0.11006641 -0.08837139 0.018681979 -0.07688841 -0.09988796 -0.0034099026 -0.10481181 -0.0405638 0.02218976 0.020864423 0.1888421 0.055659946 -0.00013288656 0.17080557 -0.04893204 -0.119123235 -0.102069505 -0.002522998 -0.07745784 -0.1305248 -0.10278907 -0.03767148 -0.015023319 -0.12051529 0.035692926 0.1398961 -0.073218465 -0.11210127 -0.077545166 -0.01961058 -0.08560396 -0.052948367 -0.022415243 -0.07891283 -0.11768583 0.17210796 -0.034969423 0.19978042 0.089686565 0.08740972 0.008533861 -0.1936407 -0.1269299 0.015238579 -0.16822127 0.018107703 0.10986887 -0.021996561 0.19039004 0.105526455 0.028471287 -0.016009165 -0.01988676 -0.054725915 -0.20145226 -0.040665045 0.0033733977 -0.16069019 0.018031528 -0.08628133 0.1166733 0.059606314 -0.108050294 0.045549355 0.1707104 0.054333687 0.0022870204 -0.089409426 0.10810292 0.2260851 0.061035294 -0.1435261 -0.18853213 -0.061302315 -0.08429878 -0.046369165 -0.24805818 -0.0594783 -0.17874698 -0.10192102 0.0040697204 -0.023415424 -0.118928656 -0.06066628 -0.02677776 -0.07243358 0.11806483 -0.05193351 -0.016795048
-1.0,グレタさん、ファーストクラス乗ったなら乗ったと最初から言えばいいでしょうに,グレタ さん ファースト クラス 乗る 乗る 最初だ 言う いい,0.12859656 0.014915271 -0.060256258 -0.057607763 0.00838058 0.08558723 0.16832021 0.053904224 0.04692748 -0.098054685 0.19185132 -0.12152325 -0.21279702 0.08237881 0.025816796 -0.058262236 -0.06479326 -0.1265767 -0.04731214 -0.0036243298 -0.043842696 0.20753826 0.06476611 -0.04230056 0.080945514 0.021596648 -0.14867276 -0.053383563 -0.00016044543 -0.07905475 -0.12786925 0.01962484 -0.029826803 0.014921063 -0.11994972 0.08311399 0.11963535 -0.10726447 -0.10186561 -0.106045224 -0.041452345 -0.012455937 -0.0008576536 -0.1076218 -0.10654604 -0.04328012 0.16995327 0.03666493 0.08673779 0.10902936 0.08065959 -0.008496799 -0.08297047 -0.11139425 -0.06863493 -0.09559912 -0.015059176 0.054880623 -0.048727274 0.2662379 0.045998674 0.10721713 -0.002233577 0.005611242 0.05785571 -0.10961731 -0.08175872 -0.035381757 -0.17615022 0.017150523 -0.05288953 0.0513488 0.047323346 -0.061052177 0.12463272 0.20342721 0.11030912 -0.009227932 -0.056169655 0.026223633 0.16875784 0.12450629 -0.10597222 -0.19355604 0.040760707 -0.22548024 -0.054262012 -0.267266 0.065494485 -0.07559459 0.039334282 -0.029760048 -0.054420322 -0.0651743 0.05271228 -0.024181403 -0.07008496 0.14385864 0.08050277 -0.0030535457
-1.0,"グレタさんが正体を隠そうとしなくなってきてる（隠す能力が無い）のすこ
活動家はこうでなきゃね",グレタ さん 正体 隠す する ない なる くる る 隠す 能力 無い すく 活動 家 ない,0.06538506 -0.058709003 -0.003727229 -0.12557408 -0.047296148 -0.022621654 0.10825029 -0.054498926 -0.08768481 -0.012086282 0.17156374 -0.07498075 -0.073649235 -0.00659081 -0.09210448 -0.07869622 0.02333708 -0.056726545 -0.07360239 0.013246247 0.03213595 0.16005911 0.053681925 0.021170849 0.13276961 -0.061374553 -0.0934777 -0.13586336 -0.0003506991 -0.09859009 -0.100632325 -0.107157156 -0.046416104 -0.011029111 -0.13487133 0.014981234 0.13304581 -0.09051893 -0.10440631 -0.059501123 -0.009362937 -0.04184496 -0.029460045 0.0118557485 -0.09061775 -0.1263026 0.17775321 -0.029625317 0.25015795 0.070606254 0.07522728 -0.0185483 -0.22210371 -0.101695664 0.01599144 -0.1770192 0.03831548 0.075981475 -0.04222325 0.20813969 0.11131762 0.024618495 -0.046924405 -0.043318074 -0.023074156 -0.19893494 -0.010846396 0.011375639 -0.16458 0.034941006 -0.12348372 0.061627083 0.11566086 -0.10135328 0.07057634 0.13146017 0.08457525 0.028163405 -0.09181649 0.13117146 0.2258534 0.0841832 -0.12362141 -0.12938306 -0.04396196 -0.064151816 -0.04277778 -0.24847741 -0.043879557 -0.21069947 -0.10894456 -0.001971222 -0.0048345774 -0.14850584 -0.062394504 -0.029917326 -0.052167382 0.069849364 -0.04861221 -0.0061548827
-1.0,グレタさん面倒くさそうだな,グレタ さん 面倒くさい そうだ,0.044507917 -0.052490834 0.033164114 -0.036205165 -0.07702038 -0.008032297 0.13819388 -0.022456385 -0.039646987 -0.023475088 0.18433456 -0.0741644 -0.14668871 0.027294563 -0.0718951 -0.095846646 -0.03501808 -0.05734181 -0.025071157 -0.0016609249 0.066985935 0.21323627 -0.030072805 -0.011667249 0.17043532 0.013494212 -0.14987323 -0.026868142 -0.009263561 -0.08293638 -0.072529234 -0.109439634 -0.07432728 -0.011696829 -0.08695114 -0.026675016 0.13715084 -0.019278169 -0.12358484 -0.05672851 -0.046438955 -0.068791404 -0.051027287 -0.029168565 -0.05411467 -0.104603276 0.1706461 -0.05604533 0.18440361 0.09836923 0.09163546 -0.0060418933 -0.15878859 -0.10347401 0.012040993 -0.18069614 0.07556827 0.056914885 0.0130611425 0.23328933 0.11938583 0.06540629 -0.043345228 0.033812005 -0.04537163 -0.21469897 -0.002116807 0.016615322 -0.12612729 0.008683619 -0.14941932 0.12017806 0.15467964 -0.112799056 0.08151378 0.15105335 0.051807206 -0.08395087 -0.06828877 0.10261515 0.19518946 0.14017785 -0.15510999 -0.17331462 -0.026138349 -0.109810516 -0.08169882 -0.22155575 0.018560143 -0.12333892 -0.05998271 0.017231854 -0.03767642 -0.100877315 -0.019836316 0.030680863 -0.105669685 0.16116174 -0.0059504965 -0.011631429
-1.0,"グレタって結局何がしたいの？俺としてはただの大人のおもちゃって存在なんだがw
活動家ってっ括りで言うと、周庭さんとグレタを比較すると行動力と発言力にめちゃくちゃ雲泥の差が有りすぎてさ笑っちゃうよね。",グレタ 何 する たい 俺 する 大人 おもちゃ 存在 活動 家 る 括り 言う 周 庭 さん グレタ 比較 する 行動 力 発言 力 めちゃくちゃだ 雲泥 差 有る すぎる する 笑う う,0.06063943 -0.054903574 -0.0020034506 -0.12621759 -0.055616997 -0.028104637 0.09234112 -0.035913754 -0.12018631 0.0058727353 0.18634887 -0.064196706 -0.08589391 -0.0062139933 -0.10095588 -0.083700374 -0.008386487 -0.032840494 -0.057156734 -0.0037125037 0.014513911 0.18670438 0.029520722 0.045874782 0.11000476 -0.06709581 -0.07919157 -0.13133472 0.0037930019 -0.08538322 -0.12323916 -0.10205347 -0.052352916 0.004393929 -0.14123453 0.009188596 0.11769896 -0.089066215 -0.11465797 -0.07615502 -0.0152021935 -0.050805416 -0.019662663 0.026723662 -0.090292625 -0.090632945 0.16656901 -0.047377385 0.24612574 0.03362887 0.079056524 -0.062980495 -0.20775145 -0.08442415 0.019563857 -0.18758674 0.05854055 0.03537615 -0.03776398 0.21751447 0.09488811 0.038096998 -0.024702823 -0.052384317 -0.004242037 -0.17197613 -0.027402878 0.019587593 -0.17428102 0.03168851 -0.11835512 0.08671643 0.083194256 -0.12465438 0.06858558 0.15649536 0.08869039 0.019630667 -0.114602186 0.09838934 0.20188671 0.08229752 -0.12533239 -0.1475812 -0.049171202 -0.077207066 -0.05920395 -0.23367883 -0.099986635 -0.21460123 -0.13196588 -0.0036382868 -0.026687067 -0.15829924 -0.08014485 -0.029309526 -0.048024226 0.061380878 -0.029088663 -0.01033728
