label,text,wakati_text,vector
-1.0,グレタさんは周りにおもちゃにされてるし毎日全世界でニュースにするメディアの異常さを感じて気持ちが悪い。メディアってカルト好きでしょ。,グレタ さん 周り おもちゃ する れる る 毎日 世界 ニュース する メディア 異常だ さ 感じる 気持ち 悪い メディア カルト 好きだ,0.048782915 -0.019939031 -0.029079875 -0.09007143 0.007488189 0.09385723 0.10743185 -0.05066927 -0.2446716 -0.040790293 0.017030153 -0.14322853 0.16762073 0.11611258 -0.06893326 -0.12306048 0.018589592 0.03813656 -0.004575653 0.027405683 0.17808196 0.041169982 -0.03179925 0.006206349 0.05617994 -0.007491459 0.07219294 0.16808307 -0.043116286 0.017996343 0.04415388 -0.059808094 0.13376762 -0.14174184 0.033946574 0.047844436 -0.06982123 0.19999947 -0.04246521 0.22381864 -0.1189619 -0.08328395 -0.049315423 0.13036445 -0.1445512 -0.078992985 0.057171445 0.037055112 -0.03230119 0.1703653 -0.16343693 -0.039398126 -0.08684719 0.18302213 0.026690474 -0.1471018 -0.19287927 -0.1274584 -0.1161489 0.019501863 -0.001681713 -0.054149 -0.19147144 -0.10346991 -0.011633686 0.09490213 -0.061599154 0.038855426 0.028541818 0.059977267 0.040909708 -0.040500984 -0.15780915 -0.09199666 -0.072876915 0.100824215 -0.06826872 -0.056750648 -0.05964643 0.088500805 -0.22172086 -0.13876805 -0.10414262 -0.05745863 -0.03244411 -0.048176587 0.06722766 0.060308658 -0.03860883 -0.003707556 -0.08001205 -0.081497595 0.011039109 0.176769 -0.05166018 0.11509371 -0.027581625 -0.07710629 0.18262425 0.06294523
-1.0,"俺含め日本人みたいなモグラしかいない連中にとってグレタさんみたいな象徴的なキャラクターは俯瞰するだけで環境問題に上向きに関与出来たと勘違いする奴が多いから新聞に書きやすいんですね〜〜〜
まぁ知る事は重要だけど",俺 含める 日本 人 モグラ いる ない 連中 とる グレタ さん 象徴 的だ キャラクター 俯瞰 する 環境 問題 上向き 関与 出来る 勘違い する 奴 多い 新聞 書く やすい 知る 事 重要だ,0.049483474 -0.018964378 -0.02465548 -0.096152574 0.008187174 0.09397251 0.10914874 -0.049249012 -0.24428214 -0.04302108 0.018414013 -0.13998593 0.1659073 0.11749304 -0.0695276 -0.124839544 0.01792554 0.034854893 -0.007403726 0.029102476 0.17695835 0.03806803 -0.031412467 0.0067677447 0.054738432 -0.008096925 0.070505366 0.1677773 -0.040164597 0.017837683 0.046728924 -0.055246983 0.13332061 -0.13935818 0.034032423 0.051836155 -0.06783352 0.19802392 -0.041011635 0.22161616 -0.12175191 -0.08592306 -0.049415916 0.13320068 -0.14372595 -0.08165163 0.054177858 0.03777708 -0.031456947 0.1713997 -0.1634364 -0.03820531 -0.08859325 0.18589695 0.028998643 -0.14700796 -0.19347928 -0.12909395 -0.115249984 0.020625537 -0.00074001314 -0.05687088 -0.19323768 -0.10240508 -0.0114540635 0.09278478 -0.06280872 0.037397426 0.028191367 0.06146571 0.042402953 -0.04393244 -0.15926759 -0.09292541 -0.07332994 0.0966755 -0.067727886 -0.058848914 -0.06079023 0.088801615 -0.22137824 -0.13765368 -0.10170958 -0.05478618 -0.030862983 -0.050454017 0.06868039 0.061355405 -0.03751056 -0.0047166897 -0.07386698 -0.08207599 0.011077937 0.1788102 -0.051245295 0.11543279 -0.027413975 -0.07518486 0.18340258 0.059847835
-1.0,"グレタさんや早く日本に来いよ

日本の鉄道はドイツの比じゃないぞ

火力発電の恩恵を受ける、超満員の日本の鉄道は、あなたの言葉を借りれば「鉄道の需要が高いから素晴らしい！」よなぁ！

 https://t.co/4fEBxhfWJ3",グレタ さん 早い 日本 来る いる 日本 鉄道 ドイツ 比 ない 火力 発電 恩恵 受ける 満員 日本 鉄道 あなた 言葉 借りる 鉄道 需要 高い 素晴らしい,0.04845641 -0.019210823 -0.022239134 -0.0930661 0.007657249 0.096757494 0.1135627 -0.053652596 -0.24032453 -0.042881865 0.015546805 -0.13908729 0.16368079 0.116487965 -0.0705941 -0.12378541 0.01568924 0.036757383 -0.007793817 0.031905316 0.18090196 0.039136723 -0.03556893 0.008349586 0.054015607 -0.006725684 0.06684194 0.16560471 -0.042656813 0.016229304 0.04599359 -0.059521094 0.13616388 -0.14112851 0.036282104 0.046381988 -0.0719236 0.19932629 -0.04160064 0.22227344 -0.11540121 -0.08323709 -0.049419224 0.13026114 -0.14613327 -0.078919165 0.05653939 0.03285469 -0.027656462 0.16940536 -0.16020674 -0.038444385 -0.08917873 0.18859014 0.028857633 -0.14807355 -0.18986085 -0.13083012 -0.120374784 0.020866167 -0.0009976651 -0.058382645 -0.19067994 -0.099418856 -0.012163191 0.09779895 -0.06402116 0.03850102 0.029320084 0.05572668 0.042027425 -0.044237524 -0.15854843 -0.09115352 -0.07390164 0.096528634 -0.06772072 -0.057143178 -0.062430743 0.0827183 -0.2241621 -0.13707305 -0.10154184 -0.058666058 -0.03229928 -0.05289141 0.0692343 0.06399143 -0.03794361 -0.0033111058 -0.07712646 -0.082991995 0.009182604 0.1815999 -0.053466324 0.11110108 -0.02761804 -0.07782878 0.18406577 0.059493773
-1.0,グレタさん面倒くさそうだな,グレタ さん 面倒くさい そうだ,0.046533003 -0.020075869 -0.025962232 -0.09539167 0.005602651 0.09074918 0.10277272 -0.04741924 -0.24122861 -0.04079506 0.014680188 -0.14561541 0.16694482 0.119755164 -0.07489768 -0.11712832 0.022470724 0.03368253 -0.0070631434 0.03186968 0.18062988 0.04023594 -0.038448527 0.011347171 0.05240534 -0.007932661 0.067730434 0.16606306 -0.04253914 0.019328594 0.046060678 -0.053913876 0.1366705 -0.1416297 0.03806473 0.045208935 -0.07264456 0.2009032 -0.04512547 0.22006421 -0.11689994 -0.08944928 -0.04776351 0.13165684 -0.14721759 -0.08008633 0.049731188 0.03650267 -0.028984575 0.17260954 -0.16664128 -0.03775848 -0.08505085 0.18446587 0.028535638 -0.14894336 -0.19444144 -0.12757532 -0.119544074 0.025382176 -0.002788589 -0.057403434 -0.19049238 -0.102660835 -0.013753372 0.09809331 -0.05982548 0.036195192 0.028566912 0.05879088 0.043240327 -0.039089665 -0.16204576 -0.08869494 -0.074349076 0.10038772 -0.06428926 -0.05976619 -0.05763668 0.08565694 -0.21791239 -0.13329154 -0.09500779 -0.06485487 -0.031621646 -0.05092494 0.06816068 0.0627431 -0.031848244 -0.00021036988 -0.08073391 -0.084014125 0.011200046 0.18274492 -0.047133334 0.11303057 -0.026225379 -0.07355675 0.18495136 0.06111511
-1.0,"グレタって結局何がしたいの？俺としてはただの大人のおもちゃって存在なんだがw
活動家ってっ括りで言うと、周庭さんとグレタを比較すると行動力と発言力にめちゃくちゃ雲泥の差が有りすぎてさ笑っちゃうよね。",グレタ 何 する たい 俺 する 大人 おもちゃ 存在 活動 家 る 括り 言う 周 庭 さん グレタ 比較 する 行動 力 発言 力 めちゃくちゃだ 雲泥 差 有る すぎる する 笑う う,0.047356088 -0.01985876 -0.025804326 -0.094471455 0.007970901 0.09284351 0.10681933 -0.049364515 -0.244126 -0.04380754 0.016931832 -0.14166446 0.16918446 0.116396286 -0.069576025 -0.12373041 0.019250697 0.034011286 -0.007144372 0.02576794 0.1775946 0.03820418 -0.034911375 0.008835103 0.05623517 -0.0071307854 0.07088073 0.16413637 -0.041453116 0.020702472 0.045018125 -0.05781001 0.13466956 -0.14263473 0.035017826 0.04848805 -0.06955686 0.19858706 -0.042296633 0.22114074 -0.121066004 -0.08336905 -0.050002236 0.13381238 -0.14309457 -0.07983361 0.055497926 0.037762042 -0.033333104 0.1713232 -0.16613197 -0.04074147 -0.08807614 0.18597722 0.029388018 -0.14658453 -0.19429451 -0.12901473 -0.113727145 0.02079836 -0.0016563842 -0.056196425 -0.19176714 -0.10361762 -0.011883111 0.09336143 -0.06469605 0.035755206 0.027651755 0.05782785 0.043833125 -0.04328156 -0.16108501 -0.089710765 -0.07158462 0.101128876 -0.068608716 -0.060126536 -0.06213426 0.086324066 -0.22141542 -0.13592134 -0.102275744 -0.05715551 -0.029019276 -0.04950715 0.06828527 0.060445614 -0.036403853 -0.0038208596 -0.07771586 -0.07967532 0.010667761 0.1795882 -0.052422997 0.11359784 -0.027540345 -0.07390018 0.18152861 0.060066454
1.0,RT @toshi9monsters: グレタさん叩きをしている人の方がきーきー言ってるように見えると言う事実www,グレタ さん 叩き する いる 人 方 きく 言う る 見える 言う,0.046533834 -0.019400893 -0.027003966 -0.09700335 0.007974414 0.093266435 0.108524576 -0.0500792 -0.24453521 -0.043029897 0.01732914 -0.14189999 0.16766919 0.11925215 -0.06899048 -0.12316387 0.018209046 0.03651489 -0.007597279 0.028041212 0.17803968 0.039144337 -0.03348881 0.010009873 0.056468476 -0.009273655 0.06903206 0.16490102 -0.03779268 0.019894712 0.04467188 -0.05693847 0.13418932 -0.14358446 0.03276467 0.049055237 -0.07257121 0.19673668 -0.04334877 0.22019666 -0.119705774 -0.086736254 -0.049191497 0.13329373 -0.14538237 -0.08090052 0.054313432 0.037434738 -0.031414073 0.17064996 -0.16347715 -0.03560143 -0.089273565 0.18653238 0.02987663 -0.14525105 -0.19357751 -0.12770456 -0.1168505 0.021236068 0.00038261563 -0.055944398 -0.1907068 -0.1030424 -0.011135567 0.09535515 -0.062064197 0.036479313 0.029301174 0.058350768 0.041682716 -0.042944364 -0.16015846 -0.089375354 -0.07168192 0.09841179 -0.06736995 -0.059472166 -0.061573613 0.08864769 -0.22198446 -0.1363521 -0.101700164 -0.05812293 -0.030502152 -0.0478785 0.06791905 0.060607698 -0.034646567 -0.0041417424 -0.077445954 -0.08088418 0.011386531 0.18084086 -0.051046614 0.11336755 -0.023656892 -0.07680247 0.18324396 0.060679037
1.0,RT @akama58250735: グレタさん効果なのか、環境問題に多くの人が関心を持っているのは素晴らしい事です。しかしこういった事情が殆ど知られる事無く、皆が心の中に漠然と作り出した「悪者」を叩いている状況には危機感を覚えます。,グレタ さん 効果 環境 問題 多く 人 関心 持つ いる の 素晴らしい 事 事情 知る れる 事 無い 心 中 漠然たる 作る 出す 悪者 叩く いる 状況 危機 感 覚える ます,0.04916506 -0.019503422 -0.026384361 -0.09372377 0.010561457 0.09443424 0.11028622 -0.050438333 -0.24458152 -0.045660555 0.015429803 -0.14038296 0.16764891 0.116362825 -0.06933628 -0.122716464 0.01864773 0.037835244 -0.008132956 0.031055711 0.17681102 0.040712748 -0.031275652 0.0075809904 0.055415515 -0.0056318017 0.070684284 0.16854279 -0.041261874 0.017553568 0.046109438 -0.05625625 0.13148472 -0.13944292 0.031726323 0.051574547 -0.06873026 0.19715971 -0.04288531 0.22135848 -0.121145025 -0.084500924 -0.047747325 0.12916856 -0.14294128 -0.083058685 0.053027492 0.035615332 -0.029728912 0.17035422 -0.16244091 -0.03680823 -0.08949504 0.18628737 0.029089315 -0.14663522 -0.19428834 -0.12582652 -0.115621366 0.021841388 -0.0013529693 -0.057673108 -0.19173132 -0.099131696 -0.013426975 0.09473848 -0.06355924 0.039240565 0.02602899 0.061555658 0.043150563 -0.04064582 -0.16020824 -0.09363267 -0.07205983 0.09871529 -0.0662447 -0.060205657 -0.06262958 0.088714086 -0.22229409 -0.1382505 -0.10063312 -0.054779153 -0.03337808 -0.04997984 0.06781451 0.063903734 -0.03484892 -0.0027320802 -0.07567258 -0.083415285 0.011140996 0.18062499 -0.049897425 0.11604519 -0.024983838 -0.07430201 0.18595375 0.06161869
-1.0,グレタさんを盾に取って批判封じを狙う大人もワルですが、しょせんは雑魚。あくまで、巨悪はグレタさんです。したがって、手を緩めることなく全力で彼女を（主張で）ぶん殴り続けるべきです。「さすがに叩かれ過ぎ」「かわいそう」などの迷いが生じていませんか？　それは、まさに彼女の術中ですよ。 https://t.co/VDcHNjO8lS,グレタ さん 盾 取る 批判 封じ 狙う 大人 ワルだ しょせん 雑魚 巨悪 グレタ さん 手 緩める こと ない 全力 彼女 主張 殴る 続ける 叩く れる 過ぎる かわいそうだ 迷い 生ずる いる ます 彼女 術中,0.048941918 -0.020487102 -0.026333373 -0.09370251 0.007742819 0.09365535 0.10833215 -0.04944718 -0.24335168 -0.043132633 0.0156082725 -0.14008494 0.16719215 0.11749414 -0.07312331 -0.12375475 0.018956438 0.035399895 -0.009127635 0.03083336 0.17680223 0.040526956 -0.033895064 0.010619673 0.056966532 -0.0070740124 0.070711344 0.16593212 -0.041111406 0.01893115 0.046396907 -0.057342652 0.13322474 -0.1417354 0.03467564 0.04834955 -0.07169004 0.19741993 -0.043135367 0.22076671 -0.118897445 -0.08571589 -0.048207965 0.13328311 -0.14548859 -0.08183358 0.054783583 0.037771225 -0.030455876 0.17024037 -0.16203707 -0.03892604 -0.08737131 0.18720062 0.027737262 -0.14625221 -0.1938462 -0.12953143 -0.11495278 0.021478636 -0.0013671872 -0.058591597 -0.19292907 -0.10197695 -0.011129775 0.09437182 -0.06380376 0.03886412 0.027828455 0.060461238 0.04507477 -0.04132124 -0.16107358 -0.09154209 -0.07533938 0.097325206 -0.06541293 -0.059655067 -0.06222628 0.088319 -0.22058423 -0.13569358 -0.10271508 -0.057087135 -0.033335004 -0.047556277 0.065337375 0.0608597 -0.036234397 -0.00361304 -0.0780613 -0.08192746 0.011206851 0.17930047 -0.047969013 0.11229007 -0.026744919 -0.07685844 0.18489747 0.05942633
1.0,いい大人がグレタさんを貶めようと必死になって恥ずかしくないのかね。,いい 大人 グレタ さん 貶める 必死だ なる 恥ずかしい ない,0.050662942 -0.017157475 -0.02534928 -0.09443118 0.0048087416 0.0927046 0.110177495 -0.046450336 -0.24379581 -0.044387225 0.017692748 -0.13861303 0.16914926 0.114654474 -0.07088676 -0.122109145 0.016930485 0.035253573 -0.008640138 0.029499253 0.17960657 0.04306689 -0.033498432 0.010062011 0.054549787 -0.008309125 0.0708642 0.16847861 -0.040788975 0.017176 0.045163248 -0.05955073 0.13256289 -0.13959976 0.035548482 0.05046399 -0.07385536 0.1989623 -0.04183781 0.22314331 -0.114946455 -0.08782159 -0.04762062 0.13153104 -0.1447434 -0.0820269 0.053483933 0.037337437 -0.034280766 0.1703633 -0.16207421 -0.0385869 -0.08692353 0.18522213 0.028752303 -0.14719276 -0.19385523 -0.12942196 -0.116998695 0.022961387 -0.0026786802 -0.055888563 -0.19065262 -0.10288473 -0.011103667 0.09500324 -0.06193393 0.03951958 0.025320653 0.060448475 0.042269085 -0.042522863 -0.1617456 -0.08936887 -0.07357669 0.09755939 -0.0677317 -0.059042074 -0.062191248 0.08715426 -0.22378771 -0.13694167 -0.09820406 -0.05863637 -0.0296591 -0.050293542 0.06841937 0.06032141 -0.03839207 -0.0051410506 -0.07738348 -0.083320946 0.011648258 0.17849608 -0.04814933 0.112765476 -0.026274858 -0.07312279 0.1832039 0.06055106
1.0,"なるほど。
 
「男性たちが女性、特に年下の女性にやたらといろいろ説明したがる本能も、イライラさせるのかもしれないとする。」

「なぜ、いい年した男の人がグレタさんに反発」　茂木健一郎氏がツイッターで持論展開（J-CASTニュース） https://t.co/HCQicWFrUX",男性 たち 女性 年下 女性 やたらだ 説明 する がる 本能 する せる しれる ない する いい 年 する 男 人 グレタ さん 反発 茂木 健一郎 氏 ツイッター 持論 展開 ニュース,0.048728608 -0.019145112 -0.024743194 -0.09680497 0.0064922734 0.09088164 0.11001511 -0.04996185 -0.24388331 -0.043768328 0.019301815 -0.13978541 0.16544756 0.11648238 -0.06987382 -0.12477331 0.017690517 0.037178617 -0.0065150377 0.028074361 0.17866611 0.040828414 -0.033050973 0.007925341 0.0547313 -0.00833414 0.07050083 0.16696365 -0.03823117 0.018533848 0.042785928 -0.057782583 0.13370557 -0.14259538 0.034825414 0.05130679 -0.06962781 0.19747463 -0.041300748 0.2203187 -0.12106153 -0.084245555 -0.051150087 0.13298716 -0.14484249 -0.08160554 0.055899475 0.038158067 -0.033248797 0.17182687 -0.1646091 -0.039703786 -0.08709756 0.18382864 0.029651158 -0.14564379 -0.19377571 -0.12966773 -0.11341861 0.019057056 -0.0015735073 -0.055686973 -0.19294675 -0.10490215 -0.010658829 0.09385564 -0.062126413 0.037148107 0.027237354 0.059972685 0.04315186 -0.0439387 -0.16013616 -0.08874474 -0.07137745 0.09968371 -0.065950215 -0.060395505 -0.061071523 0.08666267 -0.22235467 -0.13682935 -0.101645894 -0.057609007 -0.03015347 -0.049236745 0.07008506 0.060357966 -0.036147445 -0.005658168 -0.076777905 -0.080232054 0.013415569 0.18068981 -0.05243932 0.11420542 -0.029026074 -0.07877913 0.18079494 0.059893224
