label,text,wakati_text,vector
-1.0,グレタさんは周りにおもちゃにされてるし毎日全世界でニュースにするメディアの異常さを感じて気持ちが悪い。メディアってカルト好きでしょ。,グレタ さん 周り おもちゃ する れる る 毎日 世界 ニュース する メディア 異常だ さ 感じる 気持ち 悪い メディア カルト 好きだ,0.033805314 0.03132631 -0.17458092 -0.17834708 -0.05824453 0.028964426 -0.034960147 0.13593303 0.006588325 -0.019367298 -0.08633767 0.14304373 0.050691042 0.011759327 -0.008544494 -0.034113944 -0.07233135 -0.033482675 -0.15369375 0.039554037 0.009618925 -6.3151405e-05 -0.05307306 0.028609814 -0.008697456 0.27856165 0.08469246 0.18944521 -0.042992473 0.07925955 -0.17259195 0.08526505 0.110089056 -0.0168021 -0.097372174 -0.13457747 0.09367995 0.16196445 -0.117360294 -0.08199034 -0.041000742 0.18826205 0.045372378 0.089822076 -0.028205309 0.01878973 0.031450965 -0.13682818 0.024848439 -0.11492534 0.05491597 0.009898211 -0.014632351 0.11068598 -0.32488772 0.21874864 -0.19935021 0.107501365 0.12508485 0.07309922 -0.042791456 -0.009679655 0.10226763 0.09660397 -0.0025920712 -0.080363296 0.12434152 0.032716993 0.05470911 0.13357626 0.016708314 0.009145589 -0.12148029 0.045158565 -0.10273302 -0.010600617 -0.015223334 -0.07580723 0.011805548 -0.09510075 0.09817214 -0.08552363 0.07939071 -0.07524647 -0.031948388 0.033277564 0.079171024 -0.06009418 -0.0834756 0.034153618 0.050616454 0.010204385 -0.093057714 -0.16085814 -0.10991687 -0.14056143 -0.014531607 -0.030870894 0.100055926 0.14722754
-1.0,"俺含め日本人みたいなモグラしかいない連中にとってグレタさんみたいな象徴的なキャラクターは俯瞰するだけで環境問題に上向きに関与出来たと勘違いする奴が多いから新聞に書きやすいんですね〜〜〜
まぁ知る事は重要だけど",俺 含める 日本 人 モグラ いる ない 連中 とる グレタ さん 象徴 的だ キャラクター 俯瞰 する 環境 問題 上向き 関与 出来る 勘違い する 奴 多い 新聞 書く やすい 知る 事 重要だ,0.033822875 0.031187918 -0.17451456 -0.17841214 -0.05786325 0.029882433 -0.034818653 0.13538334 0.006869807 -0.020210385 -0.086873375 0.14384355 0.05052725 0.0120682195 -0.008590834 -0.034702133 -0.0724006 -0.033736084 -0.15369298 0.039541982 0.010071406 -0.0007340383 -0.053809144 0.029794823 -0.008447102 0.2791179 0.08470642 0.18927732 -0.0411644 0.07847627 -0.1718888 0.08567274 0.111249395 -0.017038416 -0.09691387 -0.13381329 0.09271687 0.16187705 -0.117254995 -0.081965335 -0.039977137 0.1878025 0.0452148 0.090735175 -0.028152725 0.018594088 0.030816099 -0.13772558 0.025241734 -0.11415903 0.054625314 0.010050254 -0.013432838 0.11084722 -0.32444957 0.2194743 -0.19931963 0.10719368 0.12489259 0.07355599 -0.042831175 -0.010439127 0.10221124 0.096300684 -0.002051844 -0.080017544 0.12505965 0.0324847 0.05454023 0.1331848 0.015467712 0.009893709 -0.121070206 0.04540666 -0.10265324 -0.010105224 -0.015082158 -0.0771623 0.01076225 -0.09399322 0.09790061 -0.08579222 0.079330765 -0.075531796 -0.032034386 0.0334253 0.07902447 -0.061199944 -0.08370514 0.03418826 0.05139842 0.011234924 -0.093132816 -0.16044241 -0.109237194 -0.1401862 -0.014578122 -0.031092282 0.10118479 0.14802031
-1.0,"グレタさんや早く日本に来いよ

日本の鉄道はドイツの比じゃないぞ

火力発電の恩恵を受ける、超満員の日本の鉄道は、あなたの言葉を借りれば「鉄道の需要が高いから素晴らしい！」よなぁ！

 https://t.co/4fEBxhfWJ3",グレタ さん 早い 日本 来る いる 日本 鉄道 ドイツ 比 ない 火力 発電 恩恵 受ける 満員 日本 鉄道 あなた 言葉 借りる 鉄道 需要 高い 素晴らしい,0.033292465 0.03125363 -0.1737865 -0.17733002 -0.059470408 0.029226603 -0.034761816 0.1364239 0.0069397977 -0.019684546 -0.08460619 0.14235286 0.050220124 0.011722944 -0.007645147 -0.036795523 -0.0708769 -0.033577017 -0.1530215 0.037951577 0.00920869 -0.00039359365 -0.05428071 0.030409314 -0.009504006 0.27858168 0.08369946 0.18979901 -0.041461058 0.07970704 -0.17243661 0.085179776 0.11142747 -0.017275907 -0.097105645 -0.13449235 0.093340404 0.16341165 -0.11745047 -0.08255917 -0.039682172 0.18693893 0.045921322 0.08982214 -0.028787306 0.019271735 0.030301662 -0.1384563 0.024949733 -0.11299021 0.054964844 0.009432887 -0.0135818 0.10989681 -0.32537478 0.21899419 -0.20028153 0.107583195 0.12674886 0.07318729 -0.043506168 -0.009953764 0.10181232 0.09691952 -0.0038586098 -0.08182158 0.12458091 0.03194129 0.055192653 0.13314417 0.016334627 0.010167131 -0.12160724 0.045521233 -0.102263935 -0.010619719 -0.015958322 -0.07786917 0.010772197 -0.09546379 0.097283445 -0.08531237 0.07742971 -0.07644183 -0.032062054 0.03307401 0.07892602 -0.06122968 -0.08363279 0.034926128 0.051238578 0.010594458 -0.092302695 -0.16039775 -0.10872398 -0.14008087 -0.014445527 -0.03147731 0.10007957 0.14754263
-1.0,グレタさん面倒くさそうだな,グレタ さん 面倒くさい そうだ,0.034494564 0.032389175 -0.17551176 -0.1782458 -0.057227153 0.030073602 -0.033555802 0.13568193 0.0064088465 -0.019722207 -0.08619594 0.14305592 0.050391715 0.011659877 -0.00817003 -0.034627184 -0.07096293 -0.034525085 -0.15289679 0.039457943 0.009677804 0.00049339584 -0.052851997 0.0288132 -0.008326052 0.27913553 0.086122796 0.18931852 -0.041488443 0.07958799 -0.17199008 0.08666548 0.11242555 -0.017550314 -0.09608754 -0.13262315 0.0915897 0.16254868 -0.118392564 -0.08237291 -0.039454468 0.18676688 0.04617758 0.08951303 -0.030678036 0.018453775 0.030296843 -0.13576011 0.024023103 -0.11253871 0.054661773 0.00938192 -0.013284611 0.11179276 -0.32540345 0.2191711 -0.20001595 0.107748464 0.12528825 0.07371106 -0.041610077 -0.0100523485 0.100944355 0.09580284 -0.003711854 -0.08073525 0.123860985 0.03318939 0.05556023 0.13358544 0.01684168 0.010734217 -0.12141766 0.04539457 -0.10480066 -0.011287572 -0.014937232 -0.07787559 0.011063946 -0.095899016 0.09698876 -0.08563063 0.08067145 -0.07349055 -0.030790763 0.03313202 0.078944966 -0.06161968 -0.08444452 0.033960387 0.050263032 0.00946049 -0.0933116 -0.16170806 -0.10837831 -0.13879666 -0.01544196 -0.031102184 0.0999715 0.14818285
-1.0,"グレタって結局何がしたいの？俺としてはただの大人のおもちゃって存在なんだがw
活動家ってっ括りで言うと、周庭さんとグレタを比較すると行動力と発言力にめちゃくちゃ雲泥の差が有りすぎてさ笑っちゃうよね。",グレタ 何 する たい 俺 する 大人 おもちゃ 存在 活動 家 る 括り 言う 周 庭 さん グレタ 比較 する 行動 力 発言 力 めちゃくちゃだ 雲泥 差 有る すぎる する 笑う う,0.033616677 0.031184992 -0.17448442 -0.17891198 -0.057941135 0.030343661 -0.03504666 0.13618527 0.007005314 -0.019976672 -0.086201 0.14297156 0.050531115 0.011624274 -0.008787611 -0.034717962 -0.072161354 -0.034122147 -0.15379898 0.03942139 0.010044729 -0.00021781224 -0.052516345 0.028390259 -0.008775253 0.279128 0.08483829 0.18989736 -0.04204063 0.07842838 -0.17172754 0.08540197 0.11090157 -0.016736114 -0.09702196 -0.13430378 0.09323078 0.16219959 -0.116813965 -0.08216411 -0.040748205 0.18752788 0.04588463 0.0899434 -0.028171858 0.018831192 0.031768855 -0.13720663 0.02507124 -0.114290744 0.05544256 0.010474495 -0.014248737 0.11007288 -0.3248323 0.21879075 -0.19961806 0.1071461 0.12531829 0.073451355 -0.042600725 -0.010067032 0.10189908 0.09644866 -0.0024355885 -0.0801415 0.12442575 0.03288872 0.0549217 0.13343671 0.01622938 0.009371458 -0.12079862 0.045181576 -0.10259086 -0.010892985 -0.015027344 -0.07698868 0.011117661 -0.09503227 0.097661875 -0.08563065 0.07874238 -0.07488059 -0.03198953 0.033516683 0.07945008 -0.06075954 -0.084032975 0.034479138 0.052172408 0.010634489 -0.092848875 -0.1604904 -0.109778754 -0.13994214 -0.014767259 -0.03144894 0.10069847 0.14778107
1.0,RT @toshi9monsters: グレタさん叩きをしている人の方がきーきー言ってるように見えると言う事実www,グレタ さん 叩き する いる 人 方 きく 言う る 見える 言う,0.03370923 0.031726845 -0.1749622 -0.17782591 -0.058481574 0.02952712 -0.03451781 0.13652423 0.0064230096 -0.020081904 -0.08559715 0.14327239 0.050628137 0.011789383 -0.008523163 -0.03532558 -0.07232778 -0.034478027 -0.15343371 0.039324217 0.009988452 0.0002577157 -0.053389814 0.029231803 -0.0094578555 0.2790663 0.084968776 0.18975325 -0.042261258 0.07884232 -0.17170821 0.08477303 0.1107518 -0.016930405 -0.0974849 -0.13365181 0.09277259 0.16235758 -0.11738464 -0.082290605 -0.040521502 0.1874692 0.04546305 0.09049138 -0.028716583 0.018536014 0.031706695 -0.13775884 0.02547298 -0.11395374 0.055521715 0.009796255 -0.013565229 0.10971223 -0.32453722 0.21931072 -0.19988841 0.10749589 0.12581609 0.07244328 -0.042833086 -0.009619556 0.10154853 0.09613543 -0.0024955727 -0.08006215 0.12475218 0.032781053 0.055172764 0.13334042 0.015557328 0.009425623 -0.121676594 0.044886824 -0.10229031 -0.010876429 -0.015284682 -0.075962074 0.010839224 -0.094532356 0.097735986 -0.08561894 0.07874555 -0.07528634 -0.03135318 0.032771222 0.07956412 -0.060827836 -0.083978966 0.03381888 0.051617853 0.010409436 -0.09321884 -0.16059466 -0.10912281 -0.14016864 -0.015371467 -0.030887185 0.10082753 0.14825077
1.0,RT @akama58250735: グレタさん効果なのか、環境問題に多くの人が関心を持っているのは素晴らしい事です。しかしこういった事情が殆ど知られる事無く、皆が心の中に漠然と作り出した「悪者」を叩いている状況には危機感を覚えます。,グレタ さん 効果 環境 問題 多く 人 関心 持つ いる の 素晴らしい 事 事情 知る れる 事 無い 心 中 漠然たる 作る 出す 悪者 叩く いる 状況 危機 感 覚える ます,0.033901345 0.03150566 -0.17413384 -0.17795119 -0.058798224 0.030030502 -0.034529407 0.13598591 0.00717257 -0.020232238 -0.08624206 0.14328422 0.04969583 0.011941933 -0.00807073 -0.035184067 -0.07263955 -0.034334794 -0.15381348 0.03948363 0.0103431875 0.00040426952 -0.052952807 0.029689174 -0.008289665 0.27915776 0.084923565 0.18994297 -0.04163476 0.079201646 -0.17154068 0.085463084 0.111782245 -0.016312426 -0.09678326 -0.1333453 0.09207015 0.1616137 -0.11646855 -0.08252874 -0.040455967 0.18772267 0.045352865 0.09094343 -0.028032517 0.018105779 0.0316237 -0.13779011 0.024895946 -0.11394688 0.055232506 0.009211745 -0.01400672 0.11082626 -0.32512566 0.21901666 -0.19947965 0.10704706 0.12528802 0.07259133 -0.042751025 -0.009406587 0.10229952 0.09600967 -0.002766131 -0.07961481 0.12455578 0.032760844 0.05548149 0.13273825 0.015352271 0.010150416 -0.1217341 0.04582399 -0.102382004 -0.01051244 -0.015163522 -0.07686284 0.010442535 -0.09424478 0.098583 -0.08608225 0.079116225 -0.07580021 -0.031617425 0.032651965 0.07853202 -0.060750384 -0.08320892 0.033976983 0.050809827 0.009580204 -0.09333994 -0.16139723 -0.10881083 -0.13952568 -0.014182221 -0.031829126 0.10164614 0.14853229
-1.0,グレタさんを盾に取って批判封じを狙う大人もワルですが、しょせんは雑魚。あくまで、巨悪はグレタさんです。したがって、手を緩めることなく全力で彼女を（主張で）ぶん殴り続けるべきです。「さすがに叩かれ過ぎ」「かわいそう」などの迷いが生じていませんか？　それは、まさに彼女の術中ですよ。 https://t.co/VDcHNjO8lS,グレタ さん 盾 取る 批判 封じ 狙う 大人 ワルだ しょせん 雑魚 巨悪 グレタ さん 手 緩める こと ない 全力 彼女 主張 殴る 続ける 叩く れる 過ぎる かわいそうだ 迷い 生ずる いる ます 彼女 術中,0.03426467 0.031497438 -0.17368485 -0.17808034 -0.058350783 0.029551703 -0.035250034 0.13589855 0.0071586207 -0.019996982 -0.08618768 0.1433341 0.05030569 0.011861339 -0.008190982 -0.03502959 -0.07184745 -0.034374423 -0.15390207 0.038961634 0.009724892 0.00051533344 -0.052703787 0.030139517 -0.0085112685 0.27915296 0.084765926 0.18953353 -0.041649498 0.07889647 -0.17105462 0.08617241 0.1111927 -0.017435413 -0.09708065 -0.1339822 0.092380665 0.16176839 -0.11780749 -0.08320659 -0.039620057 0.18816912 0.045989297 0.09044797 -0.028497772 0.018288607 0.031128066 -0.1371569 0.025268866 -0.11441716 0.055019364 0.01000516 -0.013309485 0.11039011 -0.32524666 0.2196858 -0.19997749 0.10714535 0.12500769 0.072965145 -0.042598944 -0.009589207 0.10137271 0.096384495 -0.0029543268 -0.08072618 0.1243838 0.03175422 0.055413872 0.13359858 0.01612401 0.009611494 -0.12092958 0.045323193 -0.10303777 -0.0112018045 -0.014480524 -0.07678954 0.010686673 -0.09483601 0.098039836 -0.08515983 0.079813205 -0.075646155 -0.031136697 0.032864094 0.07900334 -0.06058316 -0.08334813 0.034708627 0.05083195 0.00975361 -0.0929546 -0.16080478 -0.10872502 -0.13946933 -0.014604952 -0.031089561 0.1008444 0.14765793
1.0,いい大人がグレタさんを貶めようと必死になって恥ずかしくないのかね。,いい 大人 グレタ さん 貶める 必死だ なる 恥ずかしい ない,0.035141487 0.03215115 -0.17486975 -0.17875735 -0.057462614 0.029705295 -0.03447428 0.13655567 0.007948414 -0.019599484 -0.08620584 0.1429676 0.050756164 0.011721727 -0.0079731755 -0.035730608 -0.071495645 -0.033808403 -0.15351573 0.03802754 0.009790606 0.0012578685 -0.0526492 0.028811494 -0.008639547 0.27908128 0.084617525 0.1894522 -0.042483408 0.07827406 -0.17181614 0.08616214 0.11113754 -0.01763573 -0.09744882 -0.13474454 0.09242616 0.16212544 -0.116649464 -0.082356445 -0.039512426 0.1880199 0.046127297 0.089727156 -0.027896421 0.018980483 0.030028231 -0.13838841 0.024404248 -0.11459798 0.054592475 0.0102354465 -0.01463528 0.11086163 -0.3248006 0.21936409 -0.1991126 0.107943915 0.1252934 0.072958745 -0.04270741 -0.009088075 0.10081045 0.09682276 -0.003052738 -0.08109274 0.12505265 0.03237305 0.05477029 0.1340012 0.015136926 0.009317472 -0.12144263 0.0446974 -0.10251509 -0.010843722 -0.014369992 -0.07621334 0.010462027 -0.09521122 0.09690828 -0.085180655 0.080098204 -0.0751392 -0.031417273 0.032940127 0.07939027 -0.061613012 -0.08394655 0.033835534 0.051176086 0.0100053465 -0.0930334 -0.16102433 -0.10783814 -0.13998605 -0.015592215 -0.030837467 0.09986089 0.14684713
1.0,"なるほど。
 
「男性たちが女性、特に年下の女性にやたらといろいろ説明したがる本能も、イライラさせるのかもしれないとする。」

「なぜ、いい年した男の人がグレタさんに反発」　茂木健一郎氏がツイッターで持論展開（J-CASTニュース） https://t.co/HCQicWFrUX",男性 たち 女性 年下 女性 やたらだ 説明 する がる 本能 する せる しれる ない する いい 年 する 男 人 グレタ さん 反発 茂木 健一郎 氏 ツイッター 持論 展開 ニュース,0.03425269 0.031528443 -0.17508501 -0.17850184 -0.05798273 0.030006094 -0.035096142 0.13575885 0.006249815 -0.019324016 -0.08572225 0.14347714 0.05001234 0.011980193 -0.008449553 -0.03508828 -0.072424755 -0.033889193 -0.15281099 0.039139587 0.009827203 -0.000649308 -0.053217612 0.029239532 -0.00869296 0.2790397 0.0854853 0.1897313 -0.041894384 0.07830061 -0.17233282 0.0851292 0.11046636 -0.016570745 -0.097460434 -0.1349814 0.093251295 0.16243139 -0.11752148 -0.08247183 -0.03999946 0.1876125 0.045599557 0.09032691 -0.027888557 0.0189961 0.031114655 -0.13685387 0.02525261 -0.1142553 0.05488344 0.010649371 -0.013797437 0.11091575 -0.32490706 0.21896574 -0.19894436 0.107563674 0.12506878 0.07332727 -0.04240947 -0.010469147 0.101535276 0.096655704 -0.0019096406 -0.08015753 0.124041654 0.03216082 0.054869246 0.13372545 0.016045153 0.009226148 -0.12092528 0.04448519 -0.102568865 -0.010730088 -0.015067073 -0.07633639 0.011608284 -0.09528505 0.09791489 -0.08492418 0.07861352 -0.0753754 -0.031574804 0.03343574 0.07873327 -0.06044414 -0.0835402 0.03494823 0.05166906 0.011509324 -0.093071766 -0.16058417 -0.10965076 -0.14066654 -0.014405506 -0.031877104 0.10128202 0.14726388
