label,text,wakati_text
-1.0,グレタさんは周りにおもちゃにされてるし毎日全世界でニュースにするメディアの異常さを感じて気持ちが悪い。メディアってカルト好きでしょ。,グレタ さん 周り おもちゃ する れる る 毎日 世界 ニュース する メディア 異常だ さ 感じる 気持ち 悪い メディア カルト 好きだ
-1.0,"グレタさん「帰りの列車は超満員」  ドイツ鉄道とツイッターで小競り合い https://t.co/geC118zkSh
嘘がバレタさん",グレタ さん 帰り 列車 満員 ドイツ 鉄道 ツイッター 小競り合い 嘘 さん
-1.0,"俺含め日本人みたいなモグラしかいない連中にとってグレタさんみたいな象徴的なキャラクターは俯瞰するだけで環境問題に上向きに関与出来たと勘違いする奴が多いから新聞に書きやすいんですね〜〜〜
まぁ知る事は重要だけど",俺 含める 日本 人 モグラ いる ない 連中 とる グレタ さん 象徴 的だ キャラクター 俯瞰 する 環境 問題 上向き 関与 出来る 勘違い する 奴 多い 新聞 書く やすい 知る 事 重要だ
-1.0,"グレタさんや早く日本に来いよ

日本の鉄道はドイツの比じゃないぞ

火力発電の恩恵を受ける、超満員の日本の鉄道は、あなたの言葉を借りれば「鉄道の需要が高いから素晴らしい！」よなぁ！

 https://t.co/4fEBxhfWJ3",グレタ さん 早い 日本 来る いる 日本 鉄道 ドイツ 比 ない 火力 発電 恩恵 受ける 満員 日本 鉄道 あなた 言葉 借りる 鉄道 需要 高い 素晴らしい
-1.0,RT @uudaiy: グレタさんが電車でファーストクラスに乗ってるって指摘して気持ち良くなるの、24時間テレビのマラソンは途中で車乗ってるって指摘して気持ちよくなるのと似てる気がする,グレタ さん 電車 ファースト クラス 乗る る 指摘 する 気持ち良い なる 24 時間 テレビ マラソン 途中 車 乗る る 指摘 する 気持ちよい なる の 似る る 気 する
-1.0,グレタさん、マラさんの二番煎じ狙ったけど失敗に終わった感ある,グレタ さん マラ さん 二 番 煎じる 狙う 失敗 終わる 感 ある
-1.0,グレタさん、ファーストクラス乗ったなら乗ったと最初から言えばいいでしょうに,グレタ さん ファースト クラス 乗る 乗る 最初だ 言う いい
-1.0,"グレタさんが正体を隠そうとしなくなってきてる（隠す能力が無い）のすこ
活動家はこうでなきゃね",グレタ さん 正体 隠す する ない なる くる る 隠す 能力 無い すく 活動 家 ない
-1.0,グレタさん面倒くさそうだな,グレタ さん 面倒くさい そうだ
-1.0,"グレタって結局何がしたいの？俺としてはただの大人のおもちゃって存在なんだがw
活動家ってっ括りで言うと、周庭さんとグレタを比較すると行動力と発言力にめちゃくちゃ雲泥の差が有りすぎてさ笑っちゃうよね。",グレタ 何 する たい 俺 する 大人 おもちゃ 存在 活動 家 る 括り 言う 周 庭 さん グレタ 比較 する 行動 力 発言 力 めちゃくちゃだ 雲泥 差 有る すぎる する 笑う う
